sbag - full ver: 0.42; Copyright (c) TZWorks LLC
	
	
"cmdline: <filelist> ... | sbag64.exe -pipe -base10 -pair_datetime -no_whitespace -csv -csv_separator |"

analyzing hive: f:\SANS408\Donald_Blake_Evidence\C-Drive\Extracts\SANS408\p1-sys\registry\usrclass\232681.Donald.UsrClass.dat
regdate [UTC]|mru|modify date [UTC]|access date [UTC]|create date [UTC]|type|bag|file size|inode|seq#|full path|source subkey/value name|extra metadata|bag registry dates related to this entry
10/21/2013 19:23:54.489|<-| | | |dir|18||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_System}\|Shell\BagMRU\0\0\2||10/21/2013 20:24:06.691; 09/23/2013 19:22:18.304
10/21/2013 19:23:54.489|| | | |dir|19||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_WindowsUpdate}\|Shell\BagMRU\0\0\0||09/23/2013 19:22:18.320
09/23/2013 19:22:18.085|| | | |dir|2||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_WindowsUpdate}\Change settings\|Shell\BagMRU\0\0\0\0|[1] Name : wucltux.dll,-1|09/23/2013 19:22:18.320
09/23/2013 19:22:18.085|<-| | | |dir|25||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_WindowsUpdate}\Select updates to install\|Shell\BagMRU\0\0\0\1|[1] Name : wucltux.dll,-1|09/23/2013 19:22:18.382; 09/23/2013 19:22:18.367
09/23/2013 19:22:18.085|| | | |dir|35||||Desktop\{CLSID_ControlPanel}\System and Security\{CLSID_WindowsUpdate}\View update history\|Shell\BagMRU\0\0\0\2|[1] Name : wucltux.dll,-1|09/23/2013 19:22:18.460; 09/23/2013 19:22:18.445
10/22/2013 16:52:25.071|| | | |dir|136||||Desktop\{CLSID_ControlPanel}\User Accounts\|Shell\BagMRU\0\7||10/07/2013 11:37:29.102; 10/07/2013 11:37:29.101
10/23/2013 03:09:17.069|| | | |dir|61||||Desktop\{CLSID_Favorites}\|Shell\BagMRU\6||09/23/2013 19:22:18.632
10/23/2013 03:09:17.069|| | | |dir|6||||Desktop\{CLSID_Libraries}\|Shell\BagMRU\2||10/01/2013 18:48:31.110; 10/01/2013 18:48:31.109; 09/23/2013 19:22:18.617
10/13/2013 10:39:23.978|<-| |09/03/2013 02:13:36|09/03/2013 01:45:48|dir|72||177617|3|Desktop\{CLSID_Libraries}\VC Files.library-ms\|Shell\BagMRU\2\6|[1] VCFILE~1.LIB|09/23/2013 19:22:18.695
10/13/2013 10:39:24.228|<-| | | |dir|151||||Desktop\{CLSID_Libraries}\VC Files.library-ms\SkyDrive\|Shell\BagMRU\2\6\0|[1] Path* : C:\Users\Donald\SkyDrive; [2] Name : SkyDrive; [3] Embedded Path : {CLSID_Libraries}\VC Files.library-ms; [4] VCFILE~1.LIB; [5] url : knownfolder:{A52BBA46-E9E1-435F-B3D9-28DAA648C0F6}; [6] serializedLink : MBAAAEAFCAAAAAAAADAAAAAAAY0gAAQDxABAAgAjlg59W6cAPnUGQF3xOHQ4TggJ+fszBAAEAAAAAAAABAAAAAAAAAAAAAAAAAAAAsVAUAwHQB+TQDi66kGEiiNCAsCMw0ZKAECAAAAAAAAAAAAAAAAAAAAAAAAAAAAArrCzbbCWAHEgRAfF0gjErAFAxAAAAAAAAAAAAABAVNXZyNHA8AQCAQAAv7LAAAAAAAAAA4CAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAUFAzBQZAIHAzBAAAQBAUBQMAAAAAAAAAAAAQAARv5WYsRGAA4DAJAABA8uvAAAAAAAAAAgLAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAARA8GAuBQYAwGAkBAAAYBA4BQMAAAAAAAAAAAAQAwUrlHRylmdlBAACBQCAQAAv7LAAAAAAAAAA4CAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAMFArBQeAQEAyBQaAYHAlBAAAgBAeAAAAUCAv7bMQAAAIwYJYevlOHQ4TggJ+fszBgBAAAAeAAAAcAAAAMAAAAAHAAAA4AAAAQEAAAAaAAAAcAAAAMAAAAAsqilfQAAAAcVauR2b3NHOf90UAMkOcV1clJ3ccBAAAQCAAAgAAAAAUAAAAAAAAAAAAIAAcxlQJZkUPNFVcV1clJ3cAQ0buFGbkx1UrlHRylmdlBAEAAAAFAAAgiCAAAQ4AAAAcAAAAsAAAA6jFymXi4AYHpp/qPzF2G3chDAAAUJAAAQCAAAoJCAAAEzUQNl4KilR8yEODtL/TMpJY2mztBAAAQAAAAAAfAAAA4CAAAwUA0CAxAQLAUDAtAgMAEDAtAwNAEDA4AQMAIDA2AgMAADA3AQLAEDAxAwNAEDA3AwNAEDA2AAOAMDAtAQMAcDA1AAMAgDAwAANAcDA0AwNA0CAxAAMAADAxAAAAAAAAAAAAAAAgBAAAMAAAAKWAAAAAAAAAIWamJ3bzRHAAAAAAAAAAAgkrC8aRE/bJB5ZszFl/na9oOCg9fuAjHhv3RS/SZlbeL5qAvWEx/WSQeG7cR5/pWPqjAY/nLw4R47dk0vUW5m3AAAAAA; [7] Embedded Path : {CLSID_MyComputer}\C:\Users\Donald\SkyDrive; [8] @shell32.dll,-21813; [9] Created [guess]: 08/12/2013 01:02:19.400 [UTC]; [10] Modified [guess]: 10/13/2013 10:22:41.400 [UTC]|10/13/2013 10:39:24.228
10/13/2013 10:39:23.978|| | | |dir|44||||Desktop\{CLSID_Libraries}\{CLSID_Documents}\|Shell\BagMRU\2\0||09/23/2013 19:22:18.523
10/13/2013 10:39:23.978|| | | |dir|||||Desktop\{CLSID_Libraries}\{CLSID_Documents}\|Shell\BagMRU\2\2||
09/23/2013 19:22:18.179|| | | |dir|54||||Desktop\{CLSID_Libraries}\{CLSID_Documents}\NETFLIX SEC Filings\|Shell\BagMRU\2\2\3|[1] Path* : C:\Users\Donald\Documents\NETFLIX SEC Filings; [2] Created : 09/01/2013 16:42:58.000 [UTC]; [3] Modified : 09/01/2013 16:42:58.000 [UTC]; [4] Accessed : 09/01/2013 16:42:58.000 [UTC]; [5] Name : NETFLIX SEC Filings; [6] Embedded Path : {CLSID_MyComputer}\C:\Users\Donald\Documents\NETFLIX SEC Filings; [7] @shell32.dll,-21770|09/23/2013 19:22:18.585
09/23/2013 19:22:18.179|| | | |dir|47||||Desktop\{CLSID_Libraries}\{CLSID_Documents}\OneNote Notebooks\|Shell\BagMRU\2\2\1|[1] Path* : C:\Users\Donald\Documents\OneNote Notebooks; [2] Modified : 08/12/2013 03:38:14.000 [UTC]; [3] Name : OneNote Notebooks; [4] Embedded Path : {CLSID_UsersFiles}\{CLSID_Documents}\OneNote Notebooks; [5] Created : 08/12/2013 03:38:14.000 [UTC]; [6] Accessed : 08/12/2013 03:38:14.000 [UTC]|09/23/2013 19:22:18.539; 09/23/2013 19:22:18.523
09/23/2013 19:22:18.179|| | | |dir|46||||Desktop\{CLSID_Libraries}\{CLSID_Documents}\Outlook Files\|Shell\BagMRU\2\2\0|[1] Path* : C:\Users\Donald\Documents\Outlook Files; [2] Modified : 08/12/2013 02:43:44.000 [UTC]; [3] Name : Outlook Files; [4] Embedded Path : {CLSID_UsersFiles}\{CLSID_Documents}\Outlook Files; [5] Created : 08/12/2013 02:34:18.000 [UTC]; [6] Accessed : 08/12/2013 02:43:44.000 [UTC]|09/23/2013 19:22:18.523
09/23/2013 19:22:18.179|| | | |dir|93||||Desktop\{CLSID_Libraries}\{CLSID_Documents}\Shared Documents\|Shell\BagMRU\2\2\5|[1] Path* : C:\Users\Donald\Documents\Shared Documents; [2] Modified : 09/23/2013 18:19:00.000 [UTC]; [3] Name : Shared Documents; [4] Embedded Path : {CLSID_UsersFiles}\{CLSID_Documents}\Shared Documents; [5] Created : 09/23/2013 18:19:00.000 [UTC]; [6] Accessed : 09/23/2013 18:19:00.000 [UTC]|09/23/2013 19:22:18.804
